protocol,alpha,N,num_cells_aggregated,mean_of_cell_chi_final_mean,min_of_cell_chi_final_mean,max_of_cell_chi_final_mean
absolute,1.74,64,4,0.16963205645111085,0.14581653225762684,0.19344758064459486
absolute,1.74,128,4,0.19581628224151285,0.19050099206295576,0.20703745039624444
absolute,1.74,256,4,0.20606622170218836,0.20430148868053957,0.2078309547238371
absolute,1.8,64,4,0.17440411087122248,0.15537854026055997,0.19344758064463738
absolute,1.8,128,4,0.1969974578367893,0.1928633432534663,0.19995039682487714
absolute,1.8,256,4,0.19253660186958757,0.18430118110189161,0.20900744340497945
relative,1.74,64,5,0.17725302419302574,0.15534274193502043,0.19344758064459489
relative,1.74,128,5,0.19895298612480203,0.18551393856279094,0.2282986111104727
relative,1.74,256,5,0.20477208415297923,0.19253660186954774,0.21253690944823384
relative,1.8,64,5,0.17725302419306496,0.1553427419350552,0.1886844758059396
relative,1.8,128,5,0.19800802783095478,0.18577628968205542,0.22829861111052055
relative,1.8,256,5,0.2024191067908227,0.19136011318848814,0.21018393208607888
