protocol,alpha,N,run_count,t_onset_0p1_mean,t_onset_0p1_median,t_onset_0p1_reached_count,t_onset_0p1_not_reached_count,t_onset_0p1_not_reached_frac,t_onset_0p4_mean,t_onset_0p4_median,t_onset_0p4_reached_count,t_onset_0p4_not_reached_count,t_onset_0p4_not_reached_frac,t_peak_mean,t_peak_median,chi_peak_mean,chi_peak_median,chi_peak_min,chi_peak_max
absolute,1.74,64,20,174.9,104.25,20,0,0.0,180.35,110.25,20,0,0.0,200.325,130.0,0.7913785099452008,0.7887351256528851,0.6994372254896686,0.904741992035468
absolute,1.74,128,20,121.05,71.5,20,0,0.0,125.075,76.0,20,0,0.0,145.075,97.0,0.7800272185927005,0.779977008302238,0.7006718196215204,0.857779882931661
absolute,1.74,256,20,86.7,52.75,20,0,0.0,89.55,55.25,20,0,0.0,111.9,76.5,0.7794037516130987,0.7832338538097109,0.7301071362433049,0.8231934235317717
absolute,1.8,64,20,182.35,108.5,20,0,0.0,187.775,114.25,20,0,0.0,205.725,134.25,0.7851849828643955,0.8055613476349792,0.6774492635820323,0.9010080184533231
absolute,1.8,128,20,126.025,74.25,20,0,0.0,129.925,78.5,20,0,0.0,148.8,101.75,0.778590467302014,0.7809941829251232,0.7115565090835252,0.826198055034397
absolute,1.8,256,20,90.125,54.75,20,0,0.0,92.925,57.25,20,0,0.0,114.7,79.75,0.794971292962781,0.8000740803975851,0.7186498472834945,0.8233895073305821
relative,1.74,64,25,34.34,24.0,25,0,0.0,38.04,27.0,25,0,0.0,56.18,49.5,0.7968472744914666,0.8098900996618625,0.7069386758180437,0.8625066947775473
relative,1.74,128,25,46.4,32.5,25,0,0.0,49.54,35.0,25,0,0.0,69.44,57.0,0.7871060770168931,0.7875807801374184,0.7100171871317589,0.8640281790799771
relative,1.74,256,25,63.5,43.5,25,0,0.0,66.16,46.0,25,0,0.0,88.62,69.5,0.7832837830270206,0.7827764727264556,0.7298838750861129,0.8338507348002551
relative,1.8,64,25,33.16,23.0,25,0,0.0,36.68,26.0,25,0,0.0,53.92,51.0,0.7932843543940723,0.8092926837612289,0.6777991852030523,0.8575385627564962
relative,1.8,128,25,44.9,31.5,25,0,0.0,47.86,34.0,25,0,0.0,66.88,55.0,0.786304335684259,0.7780451171564877,0.7209645711028041,0.8581369959253207
relative,1.8,256,25,61.32,42.0,25,0,0.0,63.9,44.5,25,0,0.0,85.88,65.0,0.785314558507245,0.7891453674473652,0.7303301539477468,0.8328168125093406
